player_id,name,long_name,position,nationality,dob,primary_club,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,international_reputation,pace,shooting,passing,dribbling,defending,physic,nationality_norm,group
245283,F. El Melali,Farid El Melali,RM,Algeria,1997-05-05,Angers SCO,67,70,1300000.0,8000.0,25,168,65,1,69.0,61.0,62.0,75.0,30.0,34.0,Algeria,Group J
270703,I. Chetti,Ilyes Chetti,LB,Algeria,1995-01-22,Angers SCO,67,68,1100000.0,7000.0,27,176,70,1,70.0,38.0,50.0,62.0,66.0,56.0,Algeria,Group J
241705,T. Meziani,Tayeb Meziani,"RM, LM",Algeria,1996-02-27,Abha,66,67,1000000.0,4000.0,26,175,70,1,74.0,61.0,63.0,67.0,41.0,61.0,Algeria,Group J
252411,Z. Naidji,Zakaria Naidji,ST,Algeria,1995-01-19,Laval,66,67,1000000.0,2000.0,27,177,71,1,72.0,68.0,51.0,67.0,27.0,57.0,Algeria,Group J
266391,B. Messaoudi,Billal Messaoudi,"ST, RM",Algeria,1997-12-21,Kortrijk,66,70,1200000.0,5000.0,24,184,76,1,80.0,68.0,57.0,72.0,28.0,61.0,Algeria,Group J
188825,A. Kashi,Ahmed Kashi,"CDM, CM",Algeria,1988-11-18,Annecy,65,65,350000.0,1000.0,33,178,76,1,51.0,53.0,61.0,64.0,61.0,69.0,Algeria,Group J
246229,M. Boudjemaa,Mehdi Boudjemaa,"CDM, CM",Algeria,1998-04-07,Hatayspor,65,70,1000000.0,3000.0,24,182,70,1,71.0,46.0,59.0,67.0,62.0,68.0,Algeria,Group J
264697,M. Amoura,Mohamed Amoura,"ST, CAM",Algeria,2000-05-09,Lugano,65,74,1600000.0,3000.0,22,170,61,1,88.0,64.0,59.0,70.0,45.0,62.0,Algeria,Group J
270834,A. Rebbach,Abderrahman Rebbach,"LM, RM, CAM",Algeria,1998-08-11,Deportivo Alavés,65,71,1100000.0,3000.0,23,176,72,1,66.0,70.0,60.0,68.0,36.0,66.0,Algeria,Group J
204773,M. Jeannin,Mehdi Jeannin,GK,Algeria,1991-04-20,Sochaux,64,64,300000.0,1000.0,31,187,81,1,,,,,,,Algeria,Group J
269853,Y. Lagha,Yannis Lagha,ST,Algeria,2004-06-21,Olympique Lyonnais,64,82,1500000.0,5000.0,18,185,78,1,70.0,64.0,49.0,63.0,22.0,60.0,Algeria,Group J
205300,R. Bouhenna,Rachid Ahmed Bouhenna,CB,Algeria,1991-06-29,FCSB,63,63,325000.0,3000.0,31,191,85,1,53.0,44.0,56.0,51.0,60.0,75.0,Algeria,Group J
257235,T. Boulhendi,Teddy Boulhendi,GK,Algeria,2001-04-09,Nice,63,74,925000.0,4000.0,21,185,77,1,,,,,,,Algeria,Group J
263016,Y. Guermouche,Yanis Guermouche,ST,Algeria,2001-04-15,Montpellier,62,75,975000.0,4000.0,21,192,83,1,61.0,62.0,49.0,60.0,23.0,59.0,Algeria,Group J
271623,H. Mouali,Hamza Mouali,"LB, LWB",Algeria,1998-01-16,Laval,62,69,750000.0,950.0,24,175,69,1,63.0,38.0,57.0,49.0,58.0,55.0,Algeria,Group J
270340,Y. Bellache,Yuliwes Bellache,CAM,Algeria,2002-09-29,Austria Lustenau,59,68,475000.0,2000.0,19,175,70,1,72.0,53.0,53.0,67.0,20.0,31.0,Algeria,Group J
266305,R. Benchaa,Reda Benchaa,CB,Algeria,2002-03-12,Dijon,58,69,425000.0,900.0,20,188,78,1,64.0,30.0,41.0,47.0,57.0,65.0,Algeria,Group J
271136,T. Atallah,Tijany Atallah,"CB, RB",Algeria,2003-03-12,Bordeaux,57,74,400000.0,700.0,19,175,67,1,59.0,28.0,42.0,40.0,58.0,57.0,Algeria,Group J
263834,Z. Silini,Zakaria Silini,"ST, CF",Algeria,2003-07-05,RFC Seraing,55,69,300000.0,1000.0,18,184,81,1,60.0,55.0,45.0,55.0,18.0,59.0,Algeria,Group J
271244,M. Baaloudj,Mehdi Baaloudj,ST,Algeria,2001-02-02,Guingamp,53,60,190000.0,1000.0,21,183,80,1,56.0,58.0,38.0,47.0,19.0,42.0,Algeria,Group J
158023,L. Messi,Lionel Andrés Messi Cuccittini,RW,Argentina,1987-06-24,Paris Saint Germain,91,91,54000000.0,195000.0,35,169,67,5,81.0,89.0,90.0,94.0,34.0,64.0,Argentina,Group J
211110,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",Argentina,1993-11-15,Roma,86,86,69500000.0,130000.0,28,177,75,3,80.0,85.0,85.0,90.0,40.0,59.0,Argentina,Group J
231478,L. Martínez,Lautaro Javier Martínez,ST,Argentina,1997-08-22,Inter,86,90,98500000.0,110000.0,24,174,72,3,83.0,83.0,72.0,85.0,48.0,84.0,Argentina,Group J
202811,E. Martínez,Damián Emiliano Martínez,GK,Argentina,1992-09-02,Aston Villa,85,85,37000000.0,105000.0,29,195,88,3,,,,,,,Argentina,Group J
224334,M. Acuña,Marcos Javier Acuña,"LB, LM",Argentina,1991-10-28,Sevilla,85,85,46500000.0,46000.0,30,172,69,2,76.0,74.0,83.0,86.0,81.0,84.0,Argentina,Group J
143076,A. Gómez,Alejandro Darío Gómez,"CAM, LW, CM",Argentina,1988-02-15,Sevilla,84,84,20000000.0,47000.0,34,167,68,3,84.0,77.0,82.0,86.0,39.0,56.0,Argentina,Group J
183898,Á. Di María,Ángel Fabián Di María Hernández,RW,Argentina,1988-02-14,Juventus,84,84,20000000.0,160000.0,34,180,69,4,79.0,78.0,86.0,88.0,48.0,67.0,Argentina,Group J
212616,R. De Paul,Rodrigo Javier De Paul,"CM, RM",Argentina,1994-05-24,Atlético Madrid,84,84,42000000.0,85000.0,28,180,70,1,78.0,77.0,83.0,82.0,75.0,82.0,Argentina,Group J
214997,Á. Correa,Ángel Martín Correa,"ST, RM, CF",Argentina,1995-03-09,Atlético Madrid,83,84,42500000.0,80000.0,27,171,70,2,85.0,84.0,77.0,87.0,50.0,73.0,Argentina,Group J
232488,C. Romero,Cristian Gabriel Romero,CB,Argentina,1998-04-27,Tottenham Hotspur,83,88,49500000.0,95000.0,24,185,79,3,73.0,46.0,59.0,66.0,85.0,81.0,Argentina,Group J
215316,G. Rulli,Gerónimo Rulli,GK,Argentina,1992-05-20,Ajax,82,82,20500000.0,18000.0,30,189,84,3,,,,,,,Argentina,Group J
225659,G. Rodríguez,Guido Rodríguez,CDM,Argentina,1995-04-11,Real Betis,82,83,31000000.0,32000.0,27,185,80,1,55.0,58.0,71.0,68.0,84.0,78.0,Argentina,Group J
239301,L. Martínez,Lisandro Martínez,CB,Argentina,1998-01-18,Manchester United,82,87,41500000.0,105000.0,24,178,77,2,74.0,60.0,77.0,77.0,83.0,84.0,Argentina,Group J
178562,É. Banega,Éver Maximiliano David Banega,"CM, CDM, CAM",Argentina,1988-06-29,Al Shabab,81,81,12000000.0,47000.0,34,176,78,3,57.0,74.0,83.0,82.0,75.0,72.0,Argentina,Group J
192366,N. Otamendi,Nicolás Hernán Gonzalo Otamendi,CB,Argentina,1988-02-12,Benfica,81,81,8500000.0,18000.0,34,182,78,3,64.0,57.0,64.0,59.0,83.0,84.0,Argentina,Group J
211256,N. Tagliafico,Nicolás Alejandro Tagliafico,LB,Argentina,1992-08-31,Olympique Lyonnais,81,81,22500000.0,72000.0,29,172,65,3,79.0,56.0,72.0,75.0,80.0,80.0,Argentina,Group J
214979,J. Musso,Juan Agustín Musso,GK,Argentina,1994-05-06,Atalanta,81,82,20500000.0,47000.0,28,191,93,1,,,,,,,Argentina,Group J
226226,G. Lo Celso,Giovani Lo Celso,"CAM, LM, ST",Argentina,1996-04-09,Villarreal,81,84,33500000.0,100000.0,26,177,68,1,71.0,75.0,83.0,84.0,68.0,72.0,Argentina,Group J
205632,L. Ocampos,Lucas Ariel Ocampos,"RW, LW",Argentina,1994-07-11,Ajax,80,80,22500000.0,36000.0,27,188,84,2,79.0,80.0,77.0,81.0,62.0,83.0,Argentina,Group J
207439,L. Paredes,Leandro Daniel Paredes,"CM, CDM",Argentina,1994-06-29,Juventus,80,80,21000000.0,86000.0,28,180,75,2,67.0,66.0,83.0,81.0,75.0,78.0,Argentina,Group J
215223,W. Benítez,Walter Daniel Benítez,GK,Argentina,1993-01-19,PSV,80,82,17500000.0,19000.0,29,191,93,2,,,,,,,Argentina,Group J
215330,J. Correa,Carlos Joaquín Correa,"CF, ST",Argentina,1994-08-13,Inter,80,80,23000000.0,75000.0,27,189,75,1,84.0,75.0,76.0,84.0,39.0,68.0,Argentina,Group J
215998,I. Fernández,Ignacio Martín Fernández,"CM, CAM",Argentina,1990-01-12,River Plate,80,80,16500000.0,23000.0,32,182,67,1,75.0,77.0,81.0,80.0,70.0,74.0,Argentina,Group J
219522,J. Ledesma,Jeremías Conan Ledesma,GK,Argentina,1993-02-13,Cádiz,80,82,17500000.0,30000.0,29,186,83,1,,,,,,,Argentina,Group J
226162,E. Buendía,Emiliano Buendía,"RM, RW, CAM",Argentina,1996-12-25,Aston Villa,80,81,25000000.0,84000.0,25,172,72,3,71.0,74.0,81.0,83.0,66.0,70.0,Argentina,Group J
228520,E. Ávila,Luis Ezequiel Ávila,"ST, RM",Argentina,1994-02-06,Osasuna,80,80,21500000.0,40000.0,28,172,81,1,79.0,81.0,65.0,78.0,45.0,84.0,Argentina,Group J
240690,N. González,Nicolás Iván González,"RW, LW",Argentina,1998-04-06,Fiorentina,80,85,32000000.0,58000.0,24,180,72,2,87.0,73.0,73.0,83.0,45.0,64.0,Argentina,Group J
247090,E. Fernández,Enzo Jeremías Fernández,"CM, CDM",Argentina,2001-01-17,Benfica,80,87,42500000.0,13000.0,21,180,77,1,74.0,73.0,79.0,79.0,74.0,81.0,Argentina,Group J
170368,E. Lamela,Erik Lamela,"RW, CAM, ST",Argentina,1992-03-04,Sevilla,79,79,17000000.0,34000.0,30,181,79,2,80.0,76.0,78.0,82.0,53.0,69.0,Argentina,Group J
173030,Ó. Trejo,Óscar Guido Trejo,CAM,Argentina,1988-04-26,Rayo Vallecano,79,79,8000000.0,25000.0,34,180,79,1,68.0,76.0,78.0,82.0,71.0,77.0,Argentina,Group J
193061,R. Pereyra,Roberto Maximiliano Pereyra,"CM, RM",Argentina,1991-01-07,Udinese,79,79,14500000.0,22000.0,31,182,77,2,78.0,75.0,78.0,81.0,68.0,74.0,Argentina,Group J
201095,A. Marchesín,Agustín Federico Marchesín,GK,Argentina,1988-03-16,Celta de Vigo,79,79,3000000.0,21000.0,34,188,85,1,,,,,,,Argentina,Group J
214584,F. Armani,Franco Armani,GK,Argentina,1986-10-16,River Plate,79,79,1900000.0,10000.0,35,189,88,1,,,,,,,Argentina,Group J
227275,A. Rossi,Agustín Daniel Rossi,GK,Argentina,1995-08-21,Boca Juniors,79,83,19000000.0,16000.0,26,195,95,1,,,,,,,Argentina,Group J
231340,G. Montiel,Gonzalo Ariel Montiel,"RB, RWB",Argentina,1997-01-01,Sevilla,79,82,21500000.0,28000.0,25,175,70,1,83.0,62.0,70.0,75.0,75.0,81.0,Argentina,Group J
231521,E. Palacios,Exequiel Alejandro Palacios,"CM, CDM, CAM",Argentina,1998-10-05,Bayer 04 Leverkusen,79,84,26500000.0,48000.0,23,178,71,2,66.0,73.0,76.0,79.0,76.0,72.0,Argentina,Group J
233084,N. Molina,Nahuel Molina Lucero,"RM, RWB, RB",Argentina,1998-04-06,Atlético Madrid,79,84,26500000.0,48000.0,24,175,70,1,85.0,67.0,74.0,77.0,72.0,71.0,Argentina,Group J
234468,E. Reynoso,Emanuel Reynoso,"CAM, LM",Argentina,1995-11-16,Minnesota United,79,80,20500000.0,12000.0,26,176,67,1,67.0,67.0,78.0,80.0,59.0,67.0,Argentina,Group J
237221,J. Foyth,Juan Marcos Foyth,"RB, CB, CDM",Argentina,1998-01-12,Villarreal,79,84,24500000.0,29000.0,24,187,69,1,72.0,46.0,69.0,72.0,80.0,77.0,Argentina,Group J
246191,J. Álvarez,Julián Álvarez,"ST, RW, LW",Argentina,2000-01-31,Manchester City,79,86,36000000.0,110000.0,22,170,71,1,79.0,80.0,75.0,83.0,55.0,75.0,Argentina,Group J
188988,M. Lanzini,Manuel Lanzini,"CAM, LM",Argentina,1993-02-15,West Ham United,78,78,14000000.0,68000.0,29,167,59,2,69.0,73.0,78.0,82.0,41.0,55.0,Argentina,Group J
196432,E. Pérez,Enzo Nicolás Pérez,"CDM, CM",Argentina,1986-02-22,River Plate,78,78,2800000.0,13000.0,36,178,77,2,68.0,65.0,75.0,76.0,75.0,77.0,Argentina,Group J
201399,M. Icardi,Mauro Emanuel Icardi Rivero,ST,Argentina,1993-02-19,Galatasaray,78,78,14000000.0,80000.0,29,181,75,3,67.0,79.0,64.0,72.0,35.0,68.0,Argentina,Group J
201862,M. Rojo,Faustino Marcos Alberto Rojo,CB,Argentina,1990-03-20,Boca Juniors,78,78,9000000.0,18000.0,32,186,82,3,65.0,60.0,67.0,64.0,77.0,81.0,Argentina,Group J
216816,G. Simeone,Giovanni Pablo Simeone,ST,Argentina,1995-07-05,Napoli,78,79,17000000.0,33000.0,26,181,81,2,77.0,79.0,64.0,75.0,41.0,76.0,Argentina,Group J
217196,J. Palomino,José Luis Palomino,CB,Argentina,1990-01-05,Atalanta,78,78,9000000.0,44000.0,32,188,87,2,43.0,32.0,55.0,59.0,80.0,84.0,Argentina,Group J
221125,S. Driussi,Sebastián Driussi,"CAM, ST",Argentina,1996-02-09,Austin,78,80,17500000.0,11000.0,26,179,79,1,81.0,78.0,73.0,76.0,26.0,69.0,Argentina,Group J
223061,F. Cervi,Franco Emanuel Cervi,"LM, RM",Argentina,1994-05-26,Celta de Vigo,78,78,14000000.0,27000.0,28,165,62,2,88.0,67.0,72.0,80.0,55.0,54.0,Argentina,Group J
239837,A. Mac Allister,Alexis Mac Allister,"CM, CAM",Argentina,1998-12-24,Brighton & Hove Albion,78,83,21000000.0,56000.0,23,176,72,1,69.0,78.0,80.0,78.0,67.0,69.0,Argentina,Group J
183895,M. Moralez,Maximiliano Nicol Moralez,"CAM, CM",Argentina,1987-02-27,Racing Club,77,77,4300000.0,15000.0,35,158,56,2,68.0,71.0,77.0,78.0,52.0,49.0,Argentina,Group J
188042,M. Suárez,Matías Ezequiel Suárez,"ST, LW",Argentina,1988-05-09,River Plate,77,77,5000000.0,20000.0,34,183,75,2,75.0,76.0,75.0,83.0,47.0,69.0,Argentina,Group J
188955,G. Bou,Gustavo Leonardo Bou,"ST, CF",Argentina,1990-02-18,New England,77,77,8500000.0,11000.0,32,175,72,1,76.0,79.0,69.0,76.0,33.0,71.0,Argentina,Group J
192906,L. Rodríguez,Luis Miguel Rodríguez,"ST, CF, CAM",Argentina,1985-01-01,Colón,77,77,3600000.0,13000.0,37,167,67,1,67.0,79.0,76.0,83.0,43.0,70.0,Argentina,Group J
193601,G. Pezzella,Germán Alejandro Pezzella,CB,Argentina,1991-06-27,Real Betis,77,77,7000000.0,22000.0,31,187,81,1,51.0,49.0,49.0,56.0,78.0,72.0,Argentina,Group J
215061,D. Benedetto,Darío Ismael Benedetto,ST,Argentina,1990-05-17,Boca Juniors,77,77,8500000.0,20000.0,32,177,75,2,75.0,79.0,69.0,75.0,38.0,70.0,Argentina,Group J
215071,M. Casco,Milton Casco,"LB, RB",Argentina,1988-04-11,River Plate,77,77,3900000.0,17000.0,34,170,69,1,83.0,68.0,76.0,80.0,69.0,79.0,Argentina,Group J
215135,L. Sigali,Leonardo Germán Sigali,CB,Argentina,1987-05-29,Racing Club,77,77,2800000.0,13000.0,35,181,74,1,66.0,51.0,59.0,62.0,78.0,76.0,Argentina,Group J
215259,E. Rigoni,Emiliano Ariel Rigoni,"RM, ST, LM",Argentina,1993-02-04,Austin,77,77,10500000.0,10000.0,29,180,70,1,83.0,73.0,74.0,78.0,46.0,60.0,Argentina,Group J
236506,M. Senesi,Marcos Nicolás Senesi Barón,CB,Argentina,1997-05-10,AFC Bournemouth,77,81,13000000.0,41000.0,25,183,78,2,60.0,42.0,69.0,74.0,78.0,76.0,Argentina,Group J
237712,V. Castellanos,Valentín Mariano José Castellanos Giménez,ST,Argentina,1998-10-03,Girona,77,82,16000000.0,10000.0,23,178,74,1,78.0,77.0,69.0,75.0,41.0,78.0,Argentina,Group J
158963,L. Biglia,Lucas Rodrigo Biglia,"CDM, CM",Argentina,1986-01-30,İstanbul Başakşehir,76,76,1500000.0,23000.0,36,178,63,3,33.0,64.0,78.0,77.0,74.0,62.0,Argentina,Group J
173373,S. Romero,Sergio Germán Romero,GK,Argentina,1987-02-22,Boca Juniors,76,76,825000.0,8000.0,35,192,86,3,,,,,,,Argentina,Group J
205186,P. Gazzaniga,Paulo Dino Gazzaniga,GK,Argentina,1992-01-02,Girona,76,76,5000000.0,38000.0,30,196,90,1,,,,,,,Argentina,Group J
207471,F. Vázquez,Franco Damián Vázquez,"CAM, CM",Argentina,1989-02-22,Parma,76,76,4700000.0,6000.0,33,187,82,2,46.0,78.0,77.0,77.0,58.0,75.0,Argentina,Group J
211269,G. Fernández,Guillermo Matías Fernández,"CM, CDM",Argentina,1991-10-11,Boca Juniors,76,76,7000000.0,17000.0,30,178,75,1,71.0,67.0,75.0,76.0,65.0,66.0,Argentina,Group J
212715,S. Palacios,Sebastián Alberto Palacios,"RW, LW",Argentina,1992-01-20,Panathinaikos,76,76,7000000.0,1000.0,30,163,69,1,91.0,74.0,69.0,77.0,44.0,68.0,Argentina,Group J
214766,C. Izquierdoz,Carlos Roberto Izquierdoz,CB,Argentina,1988-11-03,Sporting Gijón,76,76,3600000.0,11000.0,33,185,80,1,49.0,54.0,55.0,53.0,76.0,82.0,Argentina,Group J
215057,I. Marcone,Iván José Marcone,"CDM, CM",Argentina,1990-06-03,Independiente,76,76,5000000.0,14000.0,32,182,79,1,45.0,62.0,73.0,69.0,74.0,77.0,Argentina,Group J
215202,L. Janson,Lucas Ezequiel Janson,"LW, ST",Argentina,1994-08-18,Vélez Sarsfield,76,76,8000000.0,17000.0,27,171,67,1,84.0,73.0,68.0,80.0,39.0,65.0,Argentina,Group J
215353,L. Alario,Lucas Nicolás Alario,ST,Argentina,1992-10-08,Eintracht Frankfurt,76,76,7500000.0,30000.0,29,185,78,2,66.0,77.0,58.0,73.0,30.0,74.0,Argentina,Group J
219391,G. Escalante,Gonzalo Escalante,"CDM, CM",Argentina,1993-03-27,Cremonese,76,76,6500000.0,40000.0,29,182,76,1,63.0,67.0,72.0,71.0,73.0,74.0,Argentina,Group J
221634,L. Acosta,Luciano Federico Acosta,CAM,Argentina,1994-05-31,Cincinnati,76,76,7500000.0,10000.0,28,161,59,1,79.0,66.0,71.0,83.0,46.0,56.0,Argentina,Group J
222041,L. Boyé,Lucas Ariel Boyé,ST,Argentina,1996-02-28,Elche,76,79,10000000.0,22000.0,26,183,79,1,70.0,76.0,64.0,77.0,49.0,80.0,Argentina,Group J
228708,L. Martínez Quarta,Lucas Martínez Quarta,CB,Argentina,1996-05-10,Fiorentina,76,79,8500000.0,42000.0,26,183,78,2,63.0,56.0,69.0,70.0,75.0,78.0,Argentina,Group J
232670,F. Zampedri,Fernando Matías Zampedri,ST,Argentina,1988-02-14,Universidad Católica,76,76,3600000.0,13000.0,34,184,84,1,68.0,78.0,56.0,71.0,29.0,78.0,Argentina,Group J
235008,L. Robertone,Lucas Gastón Robertone,"CAM, CM, CDM",Argentina,1997-03-18,Almería,76,80,10500000.0,24000.0,25,175,70,1,85.0,73.0,74.0,78.0,70.0,74.0,Argentina,Group J
235467,M. Moreno,Damián Marcelino Moreno,"CAM, CM, LW",Argentina,1995-06-25,Atlanta United,76,77,8500000.0,9000.0,27,168,65,1,87.0,70.0,72.0,79.0,53.0,62.0,Argentina,Group J
